,statement,debunking_link,label
0,"Television closed in Moldova for promoting ""traditional family values""",https://www.veridica.ro/stiri-false/fake-news-televiziune-inchisa-in-moldova-pentru-ca-promova-valorile-familiei-traditionale,fake_news
1,UN says Ukraine threatens global food security,https://www.veridica.ro/stiri-false/propaganda-de-razboi-onu-spune-ca-ucraina-ameninta-securitatea-alimentara-globala,war_propaganda
2,Romania has committed to receive 3 million refugees from Israel,https://www.veridica.ro/dezinformare/dezinformare-romania-s-a-angajat-sa-primeasca-3-milioane-de-refugiati-din-israel,disinformation
3,EU recommends Zelenski to give up Russia territories,https://www.veridica.ro/stiri-false/propaganda-de-razboi-ue-ii-recomanda-lui-zelenski-sa-i-cedeze-rusiei-teritorii,war_propaganda
4,Romania obliges Ukraine and Moldova to prohibit the Moldovan language,https://www.veridica.ro/stiri-false/fake-news-romania-obliga-ucraina-si-moldova-sa-interzica-limba-moldoveneasca,fake_news
5,Anticovid19 vaccines cause mental illness,https://www.veridica.ro/stiri-false/fake-news-vaccinurile-anticovid19-cauzeaza-boli-psihice,fake_news
6,Zelenski is no longer supported in the West and in Romania,https://www.veridica.ro/stiri-false/propaganda-de-razboi-zelenski-nu-mai-este-sprijinit-in-occident-si-in-romania,war_propaganda
7,Occult will trigger the water crisis to put on the world government,https://www.veridica.ro/stiri-false/fake-news-oculta-va-declansa-criza-apei-ca-sa-puna-guvern-mondial,fake_news
8,In Ukraine will be a heavy winter because of the authorities,https://www.veridica.ro/stiri-false/propaganda-de-razboi-in-ucraina-va-fi-o-iarna-grea-din-cauza-autoritatilor,war_propaganda
9,Moldova wants to enter the EU through NATO,https://www.veridica.ro/stiri-false/fake-news-moldova-vrea-sa-intre-in-ue-prin-nato,fake_news
10,The EU and Romania prepare in Transnistria a scenario as in Nagorno Karabah,https://www.veridica.ro/stiri-false/fake-news-ue-si-romania-pregatesc-in-transnistria-un-scenariu-ca-in-nagorno-karabah,fake_news
11,Ukraine's population has declined because of NATO and EU,https://www.veridica.ro/stiri-false/propaganda-de-razboi-populatia-ucrainei-a-scazut-din-cauza-nato-si-ue,war_propaganda
12,People will be manipulated through the flu vaccine,https://www.veridica.ro/stiri-false/fake-news-oamenii-vor-fi-manipulati-prin-vaccinul-antigripal,fake_news
13,The EU wants to expand to capture territory at the expense of Russia,https://www.veridica.ro/stiri-false/fake-news-ue-vrea-sa-se-extinda-pentru-a-acapara-teritoriu-in-defavoarea-rusiei,fake_news
14,Ukrainian military kills civilian in Herson,https://www.veridica.ro/stiri-false/propaganda-de-razboi-militarii-ucraineni-ucid-civili-in-herson,war_propaganda
